year,concept_code,concept_name_es,concept_name_en,value,unit,currency,sector_code,sector_name_es,sector_name_en,type,type_name_es,type_name_en,section,series,sector
2003,P.3,Gastos de consumo final,Final Consumption Expenditure,868227.951,millions,MXN,S.13,GG,GG,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,government
2004,P.3,Gastos de consumo final,Final Consumption Expenditure,925856.477,millions,MXN,S.13,GG,GG,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,government
2005,P.3,Gastos de consumo final,Final Consumption Expenditure,1006153.784,millions,MXN,S.13,GG,GG,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,government
2006,P.3,Gastos de consumo final,Final Consumption Expenditure,1099709.396,millions,MXN,S.13,GG,GG,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,government
2007,P.3,Gastos de consumo final,Final Consumption Expenditure,1197042.904,millions,MXN,S.13,GG,GG,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,government
2008,P.3,Gastos de consumo final,Final Consumption Expenditure,1325508.161,millions,MXN,S.13,GG,GG,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,government
2009,P.3,Gastos de consumo final,Final Consumption Expenditure,1449432.051,millions,MXN,S.13,GG,GG,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,government
2010,P.3,Gastos de consumo final,Final Consumption Expenditure,1573404.818,millions,MXN,S.13,GG,GG,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,government
2011,P.3,Gastos de consumo final,Final Consumption Expenditure,1727177.129,millions,MXN,S.13,GG,GG,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,government
2012,P.3,Gastos de consumo final,Final Consumption Expenditure,1889705.062,millions,MXN,S.13,GG,GG,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,government
2013,P.3,Gastos de consumo final,Final Consumption Expenditure,1984414.917,millions,MXN,S.13,GG,GG,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,government
2014,P.3,Gastos de consumo final,Final Consumption Expenditure,2132204.422,millions,MXN,S.13,GG,GG,U/A - Uses/Assets,Usos/Activos,Uses/Assets,II.1.1,consumption,government
